"claim_id","exact_current_wording","normalized_claim","claim_category","source_file","source_anchor","route_or_component","source_state","factual_or_positioning","verification_status","evidence","scope","limitations","contradicts_claim_id","duplication_cluster","risk_level","safe_direction","owner_approval_status","date_validated","revalidation_trigger","future_phase","notes"
"c001","Mubin Attar · AI Software Engineer · Ahmedabad, India","portfolio role label includes city and AI engineer identity","identity and role","config/site.ts","role property","/","LOCAL_PUBLIC_SOURCE","POSITIONING","OWNER_APPROVED_POSITIONING","OWNER_APPROVED role note exists; source string still AI Software Engineer","public","positioning phrase from config","","c020","MEDIUM","VERIFY","PENDING","approved","2026-08-14","P1","P1"
"c002","AI/ML Engineer at Sevina Technologies","Employment title is AI/ML Engineer at Sevina","employment; identity","content/resume.ts","experience[0].position","/resume","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","resume experience array; tenure range 2024-present","factual","title remains stable in resume and timeline""","","c010","LOW","KEEP","APPROVED","2026-08-14","evidence refresh","P1",""
"c003","3+ years in software engineering, with a production AI focus since 2024","Experience duration uses 3+ years software engineering and production AI since 2024","experience duration","content/resume.ts","summary","/resume","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","resume summary statements in exported data","factual","older lines mention production since 2022 in other copies","c012","cluster-experience","MEDIUM","KEEP","APPROVED","2026-08-14","owner alignment pass","P1","This is approved canonical statement"
"c004","4 live products","Counted live product claim","project/deployment status; identity","content/site.ts","home.facts[0]","/","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","home fact list + project count in resume","portfolio public claims","needs URL-level verification and working status","c007","cluster-live-count","HIGH","REWRITE","PENDING","2026-08-14","operational checks","P0-R4","Also appears in README and home-visual"
"c005","production AI since 2024","Production-AI tenure claim","experience duration","content/site.ts","home.facts","/","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","site facts and resume summary","portfolio narrative","another source says production AI since 2022","c003","cluster-experience","MEDIUM","QUALIFY","APPROVED","PENDING_OWNER_CONFIRMATION","2026-08-14","P1","P1"
"c006","$0 free-tier stack","Use free-tier stack with zero-cost baseline","cost and stack","content/site.ts","home.facts[]","/","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","home copy and uses page text","public positioning","no clear workload/exclusion scope","","c013","MEDIUM","QUALIFY","PENDING","2026-08-14","terms review","P1","Needs constraints, usage caps, and practical caveat"
"c007","actively maintained","Maintenance claim for projects","project status","content/projects.ts","project.status","/work","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","positioning","PARTIALLY_VERIFIED","project metadata status fields and dates","","no per-project uptime or maintenance evidence","MEDIUM","VERIFY","PENDING","Mark as snapshot","PENDING_OPERATIONAL_VERIFICATION","P1","deployment health audit"
"c008","publicly testable","Product/testability claim language","project status; demo","content/projects.ts","project.testability","/work","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","PARTIALLY_VERIFIED","project cards and FAQ","public-facing claim","","cluster-uncategorized","MEDIUM","VERIFY","PENDING","PENDING_OPERATIONAL_VERIFICATION","2026-08-14","P0-R4","P0-R4"
"c009","productionized","project delivery style term","project status; identity","content/site.ts","proof.productionWords","/","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","home proof statements","portfolio narrative","wording broader than implementation evidence","c008","cluster-live-status","MEDIUM","REWRITE","PENDING","2026-08-14","presentation review","P1",""
"c010","5.2k/10k SQL rows","Sample-size style claim in project notes","metrics","content/projects.ts","project.evidence.sqlRows","/work and /work/[slug]","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","DBWhisper project metrics","project claim","sample size not repeated in external source","","c023","MEDIUM","QUALIFY","PENDING","2026-08-14","metric source check","P0-R4","Use exact measurement context in rewrite"
"c011","6 providers","Multiple providers claim for DBWhisper","metrics; stack","content/projects.ts","dbwhisper.providers","/work/[slug]/dbwhisper","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","DBWhisper metadata includes provider count","project claim","no external benchmark of fallback behavior","","c024","LOW","KEEP","APPROVED","2026-08-14","review in app evidence","P1",""
"c012","3 SQL dialects","DBWhisper dialect support claim","metrics; technical","content/projects.ts","dbwhisper.sqlDialects","/work/[slug]/dbwhisper","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","project field list","project claim","no runtime compatibility verification","","c024","LOW","KEEP","CONFIDENTIAL_REVIEW","2026-08-14","publishability check","P1","Could be too detailed for public depending on confidentiality"
"c013","zero writes in assistant","No-write policy claim","security; trust","content/projects.ts","dbwhisper.noWrites","/work/[slug]/dbwhisper","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","project policy claim and FAQ item","system design claim","runtime enforcement boundaries not mapped","c024","cluster-security-absolute","HIGH","VERIFY","PENDING","2026-08-14","control audit","P1","Needs DB/API enforcement evidence"
