"phrase","exact_count","file_count","source_files","public_count","internal_document_count","assessment"
"Applied AI","4","2","docs/flagship-transformation/07-decision-log.md; docs/flagship-transformation/tools/base-claims-array.json","0","2","repeated"
"AI/ML Engineer","12","9","content/faq.json; content/home-visual.ts; content/resume.json; content/resume.ts; content/site.ts; content/timeline.ts; docs/flagship-transformation/07-decision-log.md; docs/flagship-transformation/tools/base-claims-array.json; public/llms.txt","7","2","moderate repetition"
"AI Software Engineer","25","16","app/about/opengraph-image.tsx; app/about/page.tsx; app/hire/opengraph-image.tsx; app/layout.tsx; app/opengraph-image.tsx; app/resume/opengraph-image.tsx; app/resume/page.tsx; app/trust/opengraph-image.tsx; config/site.ts; content/home-visual.ts; content/profile.json; content/resume.ts; content/site.ts; docs/flagship-transformation/tools/base-claims-array.json; lib/ai/system-prompt.ts; lib/og.tsx","12","1","high repetition"
"production AI","26","15","app/page.tsx; app/skills/page.tsx; app/trust/opengraph-image.tsx; content/faq.json; content/home-visual.ts; content/profile.json; content/projects.json; content/resume.json; content/resume.ts; content/site.ts; docs/flagship-transformation/07-decision-log.md; docs/flagship-transformation/tools/base-claims-array.json; public/llms.txt; readme.md; spec/brand_positioning.md","11","3","high repetition"
"reliable AI","2","2","content/home-visual.ts; docs/flagship-transformation/tools/base-claims-array.json","1","1","repeated"
"deterministic","52","25","app/dev/components/page.tsx; app/page.tsx; app/privacy/page.tsx; app/trust/opengraph-image.tsx; app/work/page.tsx; components/case-studies/dbwhisper.tsx; components/diagrams/data/dbwhisper.ts; components/features/assistant-panel.tsx; components/ui/boundary-mark.tsx; content/faq.json; content/home-visual.ts; content/profile.json; content/projects/crownwager.mdx; content/projects/dbwhisper.mdx; content/resume.ts; content/site.ts; content/timeline.ts; content/writing/a-validator-is-not-a-better-prompt.mdx; content/writing/trust-is-not-a-safety-model.mdx; lib/ai/retrieval.ts; lib/format.ts; public/llms.txt; spec/brand_positioning.md; spec/content_model.md; spec/sprints/sprint-5-assistant.md","20","0","high repetition"
"guardrail","2","2","content/home-visual.ts; spec/brand_positioning.md","1","0","repeated"
"honest","74","46","app/about/page.tsx; app/evals/opengraph-image.tsx; app/evals/page.tsx; app/hire/page.tsx; app/not-found.tsx; app/rss.xml/route.ts; app/sitemap.ts; app/work/[slug]/page.tsx; app/writing/feed.xml/route.ts; app/writing/opengraph-image.tsx; app/writing/page.tsx; components/case-studies/generic.tsx; components/case-studies/tradepulse.tsx; components/diagrams/data/crownwager.ts; components/diagrams/data/tradepulse.ts; components/diagrams/types.ts; components/features/assistant-panel.tsx; components/features/proof-strip.tsx; components/home/workbench.tsx; content/evals.ts; content/faq.json; content/notes/execution-accuracy-not-exact-match.mdx; content/notes/grade-picks-against-the-final-score.mdx; content/profile.json; content/projects.json; content/projects.ts; content/projects/crownwager.mdx; content/projects/dbwhisper.mdx; content/projects/tradepulse.mdx; content/site.ts; content/timeline.ts; content/writing/look-ahead-free-by-construction.mdx; deploy.md; lib/ai/system-prompt.ts; public/llms.txt; qa-report.md; spec/ai_assistant.md; spec/architecture.md; spec/backlog.md; spec/content_model.md; spec/decisions/adr-003-mdx-content-collections.md; spec/decisions/adr-010-ember-console-identity.md; spec/design.md; spec/engineering.md; spec/sprints/sprint-4-flagship-case-study.md; spec/sprints/sprint-5-assistant.md","33","0","high repetition"
"real","223","88","app/about/opengraph-image.tsx; app/about/page.tsx; app/api/chat/route.ts; app/evals/page.tsx; app/hire/opengraph-image.tsx; app/hire/page.tsx; app/opengraph-image.tsx; app/skills/page.tsx; app/uses/page.tsx; app/work/[slug]/page.tsx; claude.md; components/case-studies/crownwager.tsx; components/case-studies/dbwhisper.tsx; components/case-studies/generic.tsx; components/case-studies/llm-studio.tsx; components/case-studies/section.tsx; components/case-studies/tradepulse.tsx; components/diagrams/data/crownwager.ts; components/diagrams/data/dbwhisper.ts; components/diagrams/data/llm-studio.ts; components/diagrams/data/tradepulse.ts; components/diagrams/system-diagram.tsx; components/diagrams/types.ts; components/features/assistant-panel.tsx; components/features/career-timeline.tsx; components/features/newsletter-form.tsx; components/features/note-list.tsx; components/features/proof-strip.tsx; components/features/theme-toggle.tsx; components/features/writing-list.tsx; components/home/workbench.tsx; components/mdx/failure-log.tsx; components/mdx/mdx-components.tsx; components/mdx/prose.ts; components/sections/split-feature.tsx; components/seo/json-ld.tsx; components/ui/article-header.tsx; components/ui/button.tsx; components/ui/check-list.tsx; components/ui/code-block.tsx; components/ui/figure.tsx; components/ui/pull-quote.tsx; components/ui/section-heading.tsx; components/ui/text-link.tsx; config/nav.ts; constants/page.ts; content/article.ts; content/evals.ts; content/faq.json; content/home-visual.ts; content/notes/grade-picks-against-the-final-score.mdx; content/profile.json; content/projects.json; content/projects.ts; content/projects/crownwager.mdx; content/projects/dbwhisper.mdx; content/projects/llm-studio.mdx; content/projects/tradepulse.mdx; content/resume.ts; content/schema.ts; content/site.ts; content/timeline.ts; content/writing/look-ahead-free-by-construction.mdx; content/writing/retrieval-beats-stuffing.mdx; content/writing/trust-is-not-a-safety-model.mdx; design-system.md; docs/flagship-transformation/02-route-content-matrix.md; lib/ai/guard.ts; lib/ai/rate-limit.ts; lib/ai/retrieval.ts; lib/ai/system-prompt.ts; lib/ai/test-questions.ts; lib/use-reduced-motion.ts; next.config.ts; public/llms.txt; qa-report.md; readme.md; spec/backlog.md; spec/brand_positioning.md; spec/content_model.md; spec/decisions/adr-004-single-app-not-monorepo.md; spec/decisions/adr-006-assistant-static-index.md; spec/decisions/adr-007-no-storybook-preview-route.md; spec/decisions/adr-010-ember-console-identity.md; spec/design.md; spec/project_charter.md; spec/sprints/sprint-3-content-and-home.md; spec/sprints/sprint-4-flagship-case-study.md","63","3","high repetition"
"fake","8","6","app/evals/page.tsx; components/home/workbench.tsx; content/faq.json; content/schema.ts; docs/flagship-transformation/tools/base-claims-array.json; public/llms.txt","5","1","moderate repetition"
